period,wallet_name,wallet_address,wallet_avatar,account_name,win,loss,pnl_usd,pnl_sol,telegram,twitter
1,Al4n,2YJbcB9G8wePrpVBcT31o8JEed6L3abgyCjt5qkJMymV,https://cdn.kolscan.io/profiles/2YJbcB9G8wePrpVBcT31o8JEed6L3abgyCjt5qkJMymV.png,2YJbcB,58,59,"($2,642.0)",+14.83 Sol,,https://x.com/Al4neu
1,Bastille,3kebnKw7cPdSkLRfiMEALyZJGZ4wdiSRvmoN4rD1yPzV,https://cdn.kolscan.io/profiles/3kebnKw7cPdSkLRfiMEALyZJGZ4wdiSRvmoN4rD1yPzV.png,3kebnK,5,1,"($2,589.0)",+14.53 Sol,,https://x.com/BastilleBtc
1,el charto,CCUcjek5p6DLoH2YNtjizxYhAnStXAQAGVxhp1cYJF7w,https://cdn.kolscan.io/profiles/CCUcjek5p6DLoH2YNtjizxYhAnStXAQAGVxhp1cYJF7w.png,CCUcje,24,11,"($2,357.5)",+13.23 Sol,https://t.me/ChartoCartel,https://x.com/elchartox
1,Sully,Ebk5ATdfrCuKi27dHZaw5YYsfREEzvvU8xeBhMxQoex6,https://cdn.kolscan.io/profiles/Ebk5ATdfrCuKi27dHZaw5YYsfREEzvvU8xeBhMxQoex6.png,Ebk5AT,4,3,"($2,169.0)",+12.17 Sol,https://t.me/kitchenofsully,https://x.com/sullyfromDeets
1,Henn100x,FRbUNvGxYNC1eFngpn7AD3f14aKKTJVC6zSMtvj2dyCS,https://cdn.kolscan.io/profiles/FRbUNvGxYNC1eFngpn7AD3f14aKKTJVC6zSMtvj2dyCS.png,FRbUNv,35,56,"($1,889.3)",+10.60 Sol,,https://x.com/henn100x
1,Daumen,8MaVa9kdt3NW4Q5HyNAm1X5LbR8PQRVDc1W8NMVK88D5,https://cdn.kolscan.io/profiles/8MaVa9kdt3NW4Q5HyNAm1X5LbR8PQRVDc1W8NMVK88D5.png,8MaVa9,3,1,"($1,473.7)",+8.27 Sol,,https://x.com/daumeneth
1,Hail,HA1L7GhQfypSRdfBi3tCkkCVEdEcBVYqBSQCENCrwPuB,https://cdn.kolscan.io/profiles/HA1L7GhQfypSRdfBi3tCkkCVEdEcBVYqBSQCENCrwPuB.png,HA1L7G,9,9,"($1,354.4)",+7.60 Sol,,https://x.com/ignHail
1,Cooker,8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,https://cdn.kolscan.io/profiles/8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6.png,8deJ9x,2,0,"($1,264.8)",+7.10 Sol,https://t.me/CookersCooks,https://x.com/CookerFlips
1,Jazz,Ds8mcuP5r2phg596mLui3ti3PJtVvFRw19Eo9UFdJ5Bc,https://cdn.kolscan.io/profiles/Ds8mcuP5r2phg596mLui3ti3PJtVvFRw19Eo9UFdJ5Bc.png,Ds8mcu,2,8,"($1,187.1)",+6.66 Sol,,https://x.com/youngjazzeth
1,Orange,96sErVjEN7LNJ6Uvj63bdRWZxNuBngj56fnT9biHLKBf,https://cdn.kolscan.io/profiles/96sErVjEN7LNJ6Uvj63bdRWZxNuBngj56fnT9biHLKBf.png,96sErV,2,8,"($1,183.1)",+6.64 Sol,,https://x.com/OrangeSBS
1,Earl,F2SuErm4MviWJ2HzKXk2nuzBC6xe883CFWUDCPz6cyWm,https://cdn.kolscan.io/profiles/F2SuErm4MviWJ2HzKXk2nuzBC6xe883CFWUDCPz6cyWm.png,F2SuEr,21,40,($994.9),+5.58 Sol,,https://x.com/earlTrades
1,Carti The Menace,3mPypxb7ViYEdLv4siFmESvY5w5ZKknwgmB4TPcZ77qe,https://cdn.kolscan.io/profiles/3mPypxb7ViYEdLv4siFmESvY5w5ZKknwgmB4TPcZ77qe.png,3mPypx,6,2,($879.3),+4.93 Sol,,https://x.com/CartiTheMenace
1,Dan176,J2B5fnm2DAAUAGa4EaegwQFoYaN6B5FerGA5sjtQoaGM,https://cdn.kolscan.io/profiles/J2B5fnm2DAAUAGa4EaegwQFoYaN6B5FerGA5sjtQoaGM.png,J2B5fn,6,6,($869.9),+4.88 Sol,https://t.me/DansCall,https://x.com/176Dan
1,theo,Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt,https://cdn.kolscan.io/profiles/Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt.png,Bi4rd5,27,45,($712.4),+4.00 Sol,,https://x.com/theonomix
1,Otta,As7HjL7dzzvbRbaD3WCun47robib2kmAKRXMvjHkSMB5,https://cdn.kolscan.io/profiles/As7HjL7dzzvbRbaD3WCun47robib2kmAKRXMvjHkSMB5.png,As7HjL,9,21,($570.9),+3.20 Sol,https://t.me/ottabag,https://x.com/ottabag
1,Dali,CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB,https://cdn.kolscan.io/profiles/CvNiezB8hofusHCKqu8irJ6t2FKY7VjzpSckofMzk5mB.png,CvNiez,1,3,($558.5),+3.13 Sol,,https://x.com/SolanaDali
1,Value & Time,3nvC8cSrEBqFEXZjUpKfwZMPk7xYdqcnoxmFBjXiizVX,https://cdn.kolscan.io/profiles/3nvC8cSrEBqFEXZjUpKfwZMPk7xYdqcnoxmFBjXiizVX.png,3nvC8c,4,6,($376.8),+2.11 Sol,,https://x.com/valueandtime
1,Insentos,7SDs3PjT2mswKQ7Zo4FTucn9gJdtuW4jaacPA65BseHS,https://cdn.kolscan.io/profiles/7SDs3PjT2mswKQ7Zo4FTucn9gJdtuW4jaacPA65BseHS.png,7SDs3P,8,7,($341.4),+1.92 Sol,https://t.me/insentos,https://x.com/insentos
1,Rev,EgzjRCbcdRiPc1bW52tcvGDnKDbQWCzQbUhDBszD2BZm,https://cdn.kolscan.io/profiles/EgzjRCbcdRiPc1bW52tcvGDnKDbQWCzQbUhDBszD2BZm.png,EgzjRC,2,2,($309.3),+1.74 Sol,,https://x.com/solrevv
1,Dutch,9vWutdTBs66hWkeCmxaLFpkKy4q5RSe8DsFjfdxj5yFA,https://cdn.kolscan.io/profiles/9vWutdTBs66hWkeCmxaLFpkKy4q5RSe8DsFjfdxj5yFA.png,9vWutd,5,5,($256.0),+1.44 Sol,,https://x.com/0xDutch_
1,Red,7ABz8qEFZTHPkovMDsmQkm64DZWN5wRtU7LEtD2ShkQ6,https://cdn.kolscan.io/profiles/7ABz8qEFZTHPkovMDsmQkm64DZWN5wRtU7LEtD2ShkQ6.png,7ABz8q,22,37,($126.4),+0.71 Sol,https://t.me/yvlred,https://x.com/redwithbag
1,Jay,HwRnKq7RPtKHvX9wyHsc1zvfHtGjPQa5tyZtGtbvfXE,https://cdn.kolscan.io/profiles/HwRnKq7RPtKHvX9wyHsc1zvfHtGjPQa5tyZtGtbvfXE.png,HwRnKq,2,0,($97.2),+0.55 Sol,,https://x.com/BitBoyJay
1,Xelf,9Vk7pkBZ9KFJmzaPzNYjGedyz8qoKMQtnYyYi2AehNMT,https://cdn.kolscan.io/profiles/9Vk7pkBZ9KFJmzaPzNYjGedyz8qoKMQtnYyYi2AehNMT.png,9Vk7pk,1,0,($95.8),+0.54 Sol,https://t.me/xelfalpha,https://x.com/xelf_sol
1,big bags bobby,8oQoMhfBQnRspn7QtNAq2aPThRE4q94kLSTwaaFQvRgs,https://cdn.kolscan.io/profiles/8oQoMhfBQnRspn7QtNAq2aPThRE4q94kLSTwaaFQvRgs.png,8oQoMh,1,1,($50.4),+0.28 Sol,,https://x.com/bigbagsbobby
1,decu,4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9,https://cdn.kolscan.io/profiles/4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9.png,4vw54B,2,2,($49.8),+0.28 Sol,https://t.me/DecusCalls,https://x.com/notdecu
1,sp,722tXm5uB5uuG2tC43uKHXQ7Pbyz75pTokEAJv9x5VTx,https://cdn.kolscan.io/profiles/722tXm5uB5uuG2tC43uKHXQ7Pbyz75pTokEAJv9x5VTx.png,722tXm,2,8,($9.8),+0.06 Sol,,https://x.com/SolanaPlays
1,shaka,4S8YBCt6hhi7Nr1NnKF6jF856LLN8JJFzD1a8nF5UuHA,https://cdn.kolscan.io/profiles/4S8YBCt6hhi7Nr1NnKF6jF856LLN8JJFzD1a8nF5UuHA.png,4S8YBC,1,1,($1.0),+0.01 Sol,https://t.me/shakasisland,https://x.com/solanashaka
1,LilMoonLambo,7XwZnjto6bV1W8apxiETm9F6CHMDRRPLkG19ejy7t8dZ,https://cdn.kolscan.io/profiles/7XwZnjto6bV1W8apxiETm9F6CHMDRRPLkG19ejy7t8dZ.png,7XwZnj,0,0,($0.0),+0.00 Sol,,https://x.com/LilMoonLambo
1,dean bulla,J6p2MS1gjygk9Hod8vKUEfcuWqMwfAwqFJyJX7UC8p6b,https://cdn.kolscan.io/profiles/J6p2MS1gjygk9Hod8vKUEfcuWqMwfAwqFJyJX7UC8p6b.png,J6p2MS,0,0,($0.0),+0.00 Sol,,https://x.com/deanbulla
1,Eric Cryptoman,EgnY4zmqXuaqodCLW366jjd2ecki6pvmMF74MkSxMFQW,https://cdn.kolscan.io/profiles/EgnY4zmqXuaqodCLW366jjd2ecki6pvmMF74MkSxMFQW.png,EgnY4z,0,0,($0.0),+0.00 Sol,https://t.me/Erics_Calls,https://x.com/EricCryptoman
1,Dolo,5wcc13mXoyqe6qh2iHH5GFknojoJ7y13ZPx9K4NXTuo3,https://cdn.kolscan.io/profiles/5wcc13mXoyqe6qh2iHH5GFknojoJ7y13ZPx9K4NXTuo3.png,5wcc13,0,0,($0.0),+0.00 Sol,https://t.me/DolosTradingDojo,https://x.com/doloxbt
1,Profitier,Ci8HDz2LgqVeWiEasyb12EkUUcXum3CQbPLwExDBJiLu,https://cdn.kolscan.io/profiles/Ci8HDz2LgqVeWiEasyb12EkUUcXum3CQbPLwExDBJiLu.png,Ci8HDz,0,0,($0.0),+0.00 Sol,,https://x.com/profitierr
1,Yenni,5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG,https://cdn.kolscan.io/profiles/5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG.png,5B52w1,0,0,($0.0),+0.00 Sol,,https://x.com/Yennii56
1,evening,E7gozEiAPNhpJsdS52amhhN2XCAqLZa7WPrhyR6C8o4S,https://cdn.kolscan.io/profiles/E7gozEiAPNhpJsdS52amhhN2XCAqLZa7WPrhyR6C8o4S.png,E7gozE,0,0,($0.0),+0.00 Sol,,https://x.com/eveningbtc
1,Lyxe,HLv6yCEpgjQV9PcKsvJpem8ESyULTyh9HjHn9CtqSek1,https://cdn.kolscan.io/profiles/HLv6yCEpgjQV9PcKsvJpem8ESyULTyh9HjHn9CtqSek1.png,HLv6yC,0,0,($0.0),+0.00 Sol,https://t.me/+yFy-8j3uwBBjMzhl,https://x.com/cryptolyxe
1,Phineas.SOL,7KqmgKkDrAfZhLG7w57gYdkYhyLYE7mVck5MjkYRHaSG,https://cdn.kolscan.io/profiles/7KqmgKkDrAfZhLG7w57gYdkYhyLYE7mVck5MjkYRHaSG.png,7KqmgK,0,0,($0.0),+0.00 Sol,https://t.me/PhineasCabal,https://x.com/Phineas_Sol
1,s0ber,Hq5TTULwwmDjGvzQukgujHQogZ5uFSCyYHpP756Uvyae,https://cdn.kolscan.io/profiles/Hq5TTULwwmDjGvzQukgujHQogZ5uFSCyYHpP756Uvyae.png,Hq5TTU,0,0,($0.0),+0.00 Sol,,https://x.com/whaIecrypto
1,Rektober,HCQb4Qrtk4qCfChDH8XvM5onymmCSmRj9bddV6QCPdRe,https://cdn.kolscan.io/profiles/HCQb4Qrtk4qCfChDH8XvM5onymmCSmRj9bddV6QCPdRe.png,HCQb4Q,0,0,($0.0),+0.00 Sol,https://t.me/RektNFA,https://x.com/rektober
1,dingaling,9X5n5i1mugTjgGPhqf1KJDt8r4kD8TF3s62ttbxKzFHa,https://cdn.kolscan.io/profiles/9X5n5i1mugTjgGPhqf1KJDt8r4kD8TF3s62ttbxKzFHa.png,9X5n5i,0,0,($0.0),+0.00 Sol,,https://x.com/dingalingts
1,Sweep,GP9PyTwGybX3q3tC5dMRKeuq8Dr15uPVvn3Z9fKbempH,https://cdn.kolscan.io/profiles/GP9PyTwGybX3q3tC5dMRKeuq8Dr15uPVvn3Z9fKbempH.png,GP9PyT,0,0,($0.0),+0.00 Sol,https://t.me/jsdao,https://x.com/0xSweep
1,Mitch,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,https://cdn.kolscan.io/profiles/4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t.png,4Be9Cv,0,0,($0.0),+0.00 Sol,https://t.me/whimsicalclown,https://x.com/idrawline
1,ïṿ,4dfJdwntJqhArbBPudMMSzgt1MbKY7aNKsnF5KCkWaCo,https://cdn.kolscan.io/profiles/4dfJdwntJqhArbBPudMMSzgt1MbKY7aNKsnF5KCkWaCo.png,4dfJdw,0,0,($0.0),+0.00 Sol,,https://x.com/ivolxbt
1,Aroa,Aen6LKc7sGVPTyjMd5cu9B9XVjL7m9pnvAiP2ZNJC4GZ,https://cdn.kolscan.io/profiles/Aen6LKc7sGVPTyjMd5cu9B9XVjL7m9pnvAiP2ZNJC4GZ.png,Aen6LK,0,0,($0.0),+0.00 Sol,https://t.me/AroasJournal,https://x.com/AroaOnSol
1,Gh0stee,2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9,https://cdn.kolscan.io/profiles/2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9.png,2kv8X2,0,0,($0.0),+0.00 Sol,,https://x.com/4GH0STEE
1,Collectible,Ehqd8q5rAN8V7Y7EGxYm3Tp4KPQMTVWQtzjSSPP3Upg3,https://cdn.kolscan.io/profiles/Ehqd8q5rAN8V7Y7EGxYm3Tp4KPQMTVWQtzjSSPP3Upg3.png,Ehqd8q,0,0,($0.0),+0.00 Sol,,https://x.com/collectible
1,Jalen,F72vY99ihQsYwqEDCfz7igKXA5me6vN2zqVsVUTpw6qL,https://cdn.kolscan.io/profiles/F72vY99ihQsYwqEDCfz7igKXA5me6vN2zqVsVUTpw6qL.png,F72vY9,0,0,($0.0),+0.00 Sol,,https://x.com/RipJalens
1,Jordan,EAnB5151L8ejp3SM6haLgyv3snk6oqc8acKgWEg9T5J,https://cdn.kolscan.io/profiles/EAnB5151L8ejp3SM6haLgyv3snk6oqc8acKgWEg9T5J.png,EAnB51,0,0,($0.0),+0.00 Sol,,https://x.com/ohFrostyyy
1,Midjet,8FaNi7XawZVC17sci13dHi2NeyNTQgjZyrBxwgyMEfj1,https://cdn.kolscan.io/profiles/8FaNi7XawZVC17sci13dHi2NeyNTQgjZyrBxwgyMEfj1.png,8FaNi7,0,0,($0.0),+0.00 Sol,,https://x.com/MidjetV2
1,Pow,8zFZHuSRuDpuAR7J6FzwyF3vKNx4CVW3DFHJerQhc7Zd,https://cdn.kolscan.io/profiles/8zFZHuSRuDpuAR7J6FzwyF3vKNx4CVW3DFHJerQhc7Zd.png,8zFZHu,0,0,($0.0),+0.00 Sol,https://t.me/PowsGemCalls,https://x.com/traderpow
1,Robo,Gv7CnRo2L2SJ583XEfoKHKbmWK3wNoBDxVoJqMKJR4Nu,https://cdn.kolscan.io/profiles/Gv7CnRo2L2SJ583XEfoKHKbmWK3wNoBDxVoJqMKJR4Nu.png,Gv7CnR,0,0,($0.0),+0.00 Sol,https://t.me/robogems,https://x.com/roboPBOC
1,Oura,4WPTQA7BB4iRdrPhgNpJihGcxKh8T43gLjMn5PbEVfQw,https://cdn.kolscan.io/profiles/4WPTQA7BB4iRdrPhgNpJihGcxKh8T43gLjMn5PbEVfQw.png,4WPTQA,0,0,($0.0),+0.00 Sol,https://t.me/OuraEmergencyCalls,https://x.com/Oura456
1,404Flipped,AbcX4XBm7DJ3i9p29i6sU8WLmiW4FWY5tiwB9D6UBbcE,https://cdn.kolscan.io/profiles/AbcX4XBm7DJ3i9p29i6sU8WLmiW4FWY5tiwB9D6UBbcE.png,AbcX4X,0,0,($0.0),+0.00 Sol,,https://x.com/404flipped
1,Sabby,9K18MstUaXmSFSBoa9qDTqWTnYhTZqdgEhuKRTVRgh6g,https://cdn.kolscan.io/profiles/9K18MstUaXmSFSBoa9qDTqWTnYhTZqdgEhuKRTVRgh6g.png,9K18Ms,0,0,($0.0),+0.00 Sol,,https://x.com/sabby_eth
1,Izzy,42nsEk51owYM3uciuRvFerqK77yhXZyjBLRgkDzJPV2g,https://cdn.kolscan.io/profiles/42nsEk51owYM3uciuRvFerqK77yhXZyjBLRgkDzJPV2g.png,42nsEk,0,0,($0.0),+0.00 Sol,https://t.me/izzyDegens,https://x.com/degenIzzy
1,MoneyMaykah,3i8akM4xfSX9WKFB5bQ61fmiYkeKQEFqvdMEyu6pSEk9,https://cdn.kolscan.io/profiles/3i8akM4xfSX9WKFB5bQ61fmiYkeKQEFqvdMEyu6pSEk9.png,3i8akM,0,0,($0.0),+0.00 Sol,,https://x.com/moneymaykah_
1,Meechie,831qmkeGhfL8YpcXuhrug6nHj1YdK3aXMDQUCo85Auh1,https://cdn.kolscan.io/profiles/831qmkeGhfL8YpcXuhrug6nHj1YdK3aXMDQUCo85Auh1.png,831qmk,0,0,($0.0),+0.00 Sol,https://t.co/zb0ZJIEhEm,https://x.com/973Meech
1,dust,FzVQSzj8JJr6WMGqbUHzx2XH1KkrfxRrRPv6WcbbZmND,https://cdn.kolscan.io/profiles/FzVQSzj8JJr6WMGqbUHzx2XH1KkrfxRrRPv6WcbbZmND.png,FzVQSz,0,0,($0.0),+0.00 Sol,https://t.me/dustsdungeon,https://x.com/dustxbt
1,Mezoteric,EdDCRfDDeiiDXdntrP59abH4DXHFNU48zpMPYisDMjA7,https://cdn.kolscan.io/profiles/EdDCRfDDeiiDXdntrP59abH4DXHFNU48zpMPYisDMjA7.png,EdDCRf,0,0,($0.0),+0.00 Sol,,https://x.com/mezoteric
1,GVQ,2iJNcbQ7hjwLzcRqoo37xYaTPCRMHzfcdeUmNZHbFs55,https://cdn.kolscan.io/profiles/2iJNcbQ7hjwLzcRqoo37xYaTPCRMHzfcdeUmNZHbFs55.png,2iJNcb,0,0,($0.0),+0.00 Sol,,https://x.com/GVQ_xx
1,ChartFu,7i7vHEv87bs135DuoJVKe9c7abentawA5ydfWcWc8iY2,https://cdn.kolscan.io/profiles/7i7vHEv87bs135DuoJVKe9c7abentawA5ydfWcWc8iY2.png,7i7vHE,0,0,($0.0),+0.00 Sol,,https://x.com/ChartFuMonkey
1,mog,EzLywbxhxsAiNc7C9EY8fa9qZNUrMkayozWfHu7hbPJD,https://cdn.kolscan.io/profiles/EzLywbxhxsAiNc7C9EY8fa9qZNUrMkayozWfHu7hbPJD.png,EzLywb,0,0,($0.0),+0.00 Sol,,https://x.com/10piecedawg
1,Roxo,AE3tJDEyUdwBM8ZoUb3iCo563gMbq26JtckfvjcVZbSa,https://cdn.kolscan.io/profiles/AE3tJDEyUdwBM8ZoUb3iCo563gMbq26JtckfvjcVZbSa.png,AE3tJD,0,0,($0.0),+0.00 Sol,,https://x.com/ignRoxo
1,Hustler,HUS9ErdrDqpqQePbmfgJUTnDTE6eZ8ES62a25RihSK9U,https://cdn.kolscan.io/profiles/HUS9ErdrDqpqQePbmfgJUTnDTE6eZ8ES62a25RihSK9U.png,HUS9Er,0,0,($0.0),+0.00 Sol,https://t.me/hustlersalpha,https://x.com/JoeVargas
1,Jeets,D1H83ueSw5Nxy5okxH7VBfV4jRnqAK5Mm1tm3JAj3m5t,https://cdn.kolscan.io/profiles/D1H83ueSw5Nxy5okxH7VBfV4jRnqAK5Mm1tm3JAj3m5t.png,D1H83u,0,0,($0.0),+0.00 Sol,,https://x.com/ieatjeets
1,CC2,B3beyovNKBo4wF1uFrfGfpVeyEHjFyJPmEBciz7kpnoS,https://cdn.kolscan.io/profiles/B3beyovNKBo4wF1uFrfGfpVeyEHjFyJPmEBciz7kpnoS.png,B3beyo,0,0,($0.0),+0.00 Sol,,https://x.com/CC2Ventures
1,Scooter,9NL6thsiaoyDnm7XF8hEbMoqeG172WmG7iKYpygvjfgo,https://cdn.kolscan.io/profiles/9NL6thsiaoyDnm7XF8hEbMoqeG172WmG7iKYpygvjfgo.png,9NL6th,0,0,($0.0),+0.00 Sol,,https://x.com/imperooterxbt
1,Angi,AGnd5WTHMUbyK3kjjQPdQFM3TbWcuPTtkwBFWVUwiCLu,https://cdn.kolscan.io/profiles/AGnd5WTHMUbyK3kjjQPdQFM3TbWcuPTtkwBFWVUwiCLu.png,AGnd5W,0,0,($0.0),+0.00 Sol,https://t.me/angiscalls,https://x.com/angitradez
1,Solstice,GrD2umbfEBjQKFPDQvmmYNQ5eyRL9SAdWJj9FFMyeaDN,https://cdn.kolscan.io/profiles/GrD2umbfEBjQKFPDQvmmYNQ5eyRL9SAdWJj9FFMyeaDN.png,GrD2um,0,0,($0.0),+0.00 Sol,https://t.me/solsticesmoonshots,https://x.com/The__Solstice
1,Brox,7VBTpiiEjkwRbRGHJFUz6o5fWuhPFtAmy8JGhNqwHNnn,https://cdn.kolscan.io/profiles/7VBTpiiEjkwRbRGHJFUz6o5fWuhPFtAmy8JGhNqwHNnn.png,7VBTpi,0,0,($0.0),+0.00 Sol,https://t.me/broxcalls,https://x.com/ohbrox
1,Unipcs (aka 'Bonk Guy'),5M8ACGKEXG1ojKDTMH3sMqhTihTgHYMSsZc6W8i7QW3Y,https://cdn.kolscan.io/profiles/5M8ACGKEXG1ojKDTMH3sMqhTihTgHYMSsZc6W8i7QW3Y.png,5M8ACG,0,0,($0.0),+0.00 Sol,,https://x.com/theunipcs
1,ShockedJS,6m5sW6EAPAHncxnzapi1ZVJNRb9RZHQ3Bj7FD84X9rAF,https://cdn.kolscan.io/profiles/6m5sW6EAPAHncxnzapi1ZVJNRb9RZHQ3Bj7FD84X9rAF.png,6m5sW6,0,0,($0.0),+0.00 Sol,https://t.me/shockedjstrading,https://x.com/ShockedJS
1,Jerry,HKjuMsz7JMuiQhkZsAwqogPf1KwhwACZGMcTmmtesoWv,https://cdn.kolscan.io/profiles/HKjuMsz7JMuiQhkZsAwqogPf1KwhwACZGMcTmmtesoWv.png,HKjuMs,0,0,($0.0),+0.00 Sol,https://t.me/jerrycabal,https://x.com/chefjerrry
1,Obijai,C4BWYccLsbeHgZzVupFZJGvJK2nQpn8em9WtzURH4gZW,https://cdn.kolscan.io/profiles/C4BWYccLsbeHgZzVupFZJGvJK2nQpn8em9WtzURH4gZW.png,C4BWYc,0,0,($0.0),+0.00 Sol,,https://x.com/Obijai
